게시물 ID,설명,기간(초),게시 시간,게시물 유형,노출,도달,공유,팔로우,재생 횟수,좋아요,저장,키워드
1.7975252740971632e+16, 한비 LIFE 화 겨울 방학작가  숭곰이디자인공학전공hanblifekoreatechmangddurella,0.0,01/16/2023 16:01,IG 슬라이드,4228.0,2623.0,1.0,0.0,0.0,128.0,1.0,"['한비', 'LIFE', '화', '겨울', '방학작가']"
1.7966041723992514e+16,한기인들의 자기주도 학습과 전공간 융합 학습을 위해 개최된 제회 MetaRobo 경진대회 현장 스케치 Racing부문 Task부문 Maze부문 팀으로 나누어진 경진대회에서 어떤 팀이 대망의 금상을 차지했을까요지금 바로 영상으로 확인해 보세요 경진대회 대학생 융합교육 아두이노 한기대 한국기술교육대학교 공대 공대생,334.0,01/12/2023 00:01,Instagram 릴스,3646.0,2421.0,2.0,0.0,4168.0,45.0,3.0,"['경진대회', '한기인들의', '자기주도', '학습과', '전공간']"
1.7977191181924252e+16,MetaRobo경진대회 Maze부문한기인들의 자기주도 학습과 전공간 융합 학습을 위해 개최된 제회 MetaRobo 경진대회 현장 스케치 Maze부문 금상은 기계공학부 학번 오성범 김태형 지성현 학생으로 이루어진 김태형 팀이 차지했습니다앞으로도 한기인들의 더 큰 배움의 장을 마련하기 위한 노력에 많은 관심과 지원 부탁드립니다 ,0.0,01/11/2023 21:01,IG 슬라이드,3956.0,2389.0,10.0,2.0,0.0,116.0,4.0,"['김태형', 'MetaRobo경진대회', 'Maze부문한기인들의', '자기주도', '학습과']"
1.8003224002569928e+16,MetaRobo경진대회 Task부문한기인들의 자기주도 학습과 전공간 융합 학습을 위해 개최된 제회 MetaRobo 경진대회 현장 스케치 Task부문 금상은 기계공학부 학번 오영진 최현서 학번 김민지 학생으로 이루어진 김민지 팀이 차지했습니다앞으로도 한기인들의 더 큰 배움의 장을 마련하기 위한 노력에 많은 관심과 지원 부탁드립니다 ,0.0,01/11/2023 21:01,IG 슬라이드,3207.0,1900.0,0.0,0.0,0.0,64.0,2.0,"['학번', '김민지', 'MetaRobo경진대회', 'Task부문한기인들의', '자기주도']"
1.7950059293284288e+16,MetaRobo경진대회 Racing부문한기인들의 자기주도 학습과 전공간 융합 학습을 위해 개최된 제회 MetaRobo 경진대회 현장 스케치 Racing부문 금상은 기계공학부 학번 정현재 김도현 학생으로 이루어진 동서남북 팀이 차지했습니다앞으로도 한기인들의 더 큰 배움의 장을 마련하기 위한 노력에 많은 관심과 지원 부탁드립니다 ,0.0,01/11/2023 21:01,IG 슬라이드,3570.0,2216.0,5.0,0.0,0.0,93.0,2.0,"['MetaRobo경진대회', 'Racing부문한기인들의', '자기주도', '학습과', '전공간']"
1.833573317800472e+16,새해 이벤트 릴스HELLO  GOOD BYE 어느덧 년이 지나가고 년 새해가 밝았습니다여러분의 새해 목표는 무엇인가요년 계묘년에는 목표하시는 모든 일 이루시고 행복한 날들만 가득하길 한국기술교육대학교가 응원하겠습니다공지본 영상은 년 월 일부터 일까지 진행되었던 어서와  어서와 학번 이벤트가 참여한 재학생들의 답변을 바탕으로 제작되었습니다내일을 향한 기대 당신을 향한 나래 with KOREATECH,60.0,01/08/2023 16:01,Instagram 릴스,4661.0,2670.0,1.0,1.0,5095.0,85.0,0.0,"['새해', '년', '어서와', '향한', '이벤트']"
1.793709893959796e+16, 신년 이벤트 당첨자어서와  어서와 학번 이벤트 당첨자 공지안녕하세요 한국기술교육대학교 재학생 홍보대사 나래기입니다 년 월 일부터 일까지 일간 어서와  어서와 학번 이벤트가 진행되었습니다많은 분들이 이벤트에 참여해주셨는데요 참여해주신 분들 중 유니피커를 통하여 랜덤으로 명의 당첨자를 선발하였습니다상품은 추후 전송될 예정이라는 점 체크체크여러분이 제출해주신 나의 새해 목표와 학번들에게 전해주고 싶은 말이 영상으로 제작되어 업로드 될 예정이오니 많은 관심 부탁드립니다필독영상에 쓰인 내용은 제출된 답변 중 선정을 통하여 익명으로 제작이 되었으며 이는 당첨자 선정과는 무관합니다년도 여러분들의 목표를 모두 이루고 좋은 일만 가득한 한 해가 되기를 바랍니다내일을 향한 기대 당신을 향한 나래 with KOREATECH,0.0,01/08/2023 16:01,IG 슬라이드,3720.0,2427.0,3.0,0.0,0.0,62.0,0.0,"['어서와', '이벤트', '학번', '당첨자', '중']"
1.786391006688723e+16, 나우리캠프 Part   수 LETS KOREATECH Photo by KCBS 촬영에 협조해주신 모든 학우분들께 감사드립니다,0.0,03/02/2023 19:03,IG 슬라이드,6272.0,3776.0,18.0,1.0,0.0,335.0,3.0,"['나우리캠프', 'Part', '수', 'LETS', 'KOREATECH']"
1.7857291943881528e+16, 나우리캠프 Part   수총학생회 소개 신입생 장기자랑 래원김나영 Photo by KCBS 촬영에 협조해주신 모든 학우분들께 감사드립니다 ,0.0,03/02/2023 19:03,IG 슬라이드,6643.0,3847.0,24.0,3.0,0.0,295.0,6.0,"['나우리캠프', 'Part', '수총학생회', '소개', '신입생']"
1.7979217571000426e+16, 우당탕탕 한기대 ep 개강한 대학생은 강해작가  이예빈디자인공학전공 학번dyeb,0.0,03/05/2023 21:03,IG 슬라이드,5539.0,3126.0,0.0,0.0,0.0,131.0,2.0,"['우당탕탕', '한기대', 'ep', '개강한', '대학생은']"
