콘텐츠,동영상 제목,동영상 게시 시간,조회수,시청 시간(단위: 시간),구독자,평균 시청 지속 시간,노출수,노출 클릭률 (%)
XLUIts32jh0,이게 바로..공대 썸? 두근두근 화학생명공학전공 LAB실 투어★ | 너 T야? 응! 나 KOREAⓣECH 이야!😚| [한국기술교육대학교/KOREATECH]#shorts #reels,29-Aug-23,816,4.7486,0,0:00:20,9278,2.46
58X-Vupllcc,개교 30주년 기념식 | 오프닝(주제) 영상,05-Nov-21,811,10.3165,-4,0:00:45,23115,2.4
0o84xeKETWI,💸억 소리 나는 장비 부자 한기대 에너지신소재공학전공 | 비싼 장비 너무 탐난다🤑 | [한국기술교육대학교/KOREATECH] #shorts #reels,25-Aug-23,805,4.3007,0,0:00:19,6600,1.62
Ur4D1UglyUg,2021학년도 한국기술교육대학교 정시 모집 안내 [한국기술교육대학교/KOREATECH],16-Dec-20,803,12.4693,0,0:00:55,15233,4.15
hRyfOJXA0ZQ,한국기술교육대학교 2차년도 대학혁신사업단 성과확산을 위한 우수사례 발표회 [한국기술교육대학교/KOREATECH],17-Feb-21,801,92.4147,-2,0:06:55,21546,1.9
uuDwXN2MQHY,"이제 알게 될 거야, 네가 몰랐던 너의 가능성🌟 l 2023학년도 한국기술교육대학교 수시모집 #shorts",07-Sep-22,797,4.9094,0,0:00:22,20419,1.52
qoQSkrY2BaM,교수학습센터 | 제 5회 KOREATECH! 교육콘서트 영상 [한국기술교육대학교/KOREATECH],31-Dec-20,791,61.3744,6,0:04:39,20123,2.53
Bf98o-k5IDE,2021 졸업작품 | 전기·전자·통신공학부 | 시각장애인을 위한 라벨러 [한국기술교육대학교/KOREATECH],30-Jun-21,783,10.2615,0,0:00:47,10897,4.23
BkdUDByCHYI,공대생 언니오빠들의 취미생활 🤭ㅣ2022 MetaRobo 경진대회 현장 스케치ㅣ한국기술교육대학교,12-Jan-23,782,14.0233,-1,0:01:04,17851,3.03
kmcNiPpaJ40,CheerUP_21학년도 취업아카데미 4월7일 ①,07-Apr-21,776,81.7641,3,0:06:19,11709,2.95
