콘텐츠,동영상 제목,동영상 게시 시간,조회수,시청 시간(단위: 시간),구독자,평균 시청 지속 시간,노출수,노출 클릭률 (%)
bxFZabP-WvM,2021 졸업작품 | 기계공학부 | erp42 기반 다양한 센서 정보를 이용한 주행환경인지 보조 시스템 [한국기술교육대학교/KOREATECH],01-Jul-21,410,8.3752,1,0:01:13,10641,2.38
nQQC4FUmpIw,개교 30주년 기념식 | 미래기술발표,03-Dec-21,404,18.3151,1,0:02:43,15485,1.99
CO5qaHk4qtE,[옥션마켓] AF와 OIS 동시 구동 가능한 고성능 카메라 렌즈 개발,20-Nov-20,402,6.438,0,0:00:57,9378,3.21
otafY350XKw,2020학년도 논술고사 문제 풀이영상(오전-수학) [한국기술교육대학교/KOREATECH],04-Jun-20,399,7.2648,0,0:01:05,9527,2.62
m4zTAvf5tI8,포레스트 검프도 탐낸 탁구동아리ㅣCUTㅣ동아리 영상 공모전 BEST 영상,18-May-23,394,3.3199,0,0:00:30,11921,2.69
Cz3FZEfLjiM,2021 하반기 졸업작품 | 메카트로닉스공학부 | 금혜지 [한국기술교육대학교/KOREATECH],18-Oct-21,387,4.5448,-2,0:00:42,6620,3.1
Kmltg-HctVE,"새해에는 좋은 일만 | HELLO 2023, GOOD BYE 2022 | [한국기술교육대학교/KOREATECH]",14-Jan-23,380,2.4684,2,0:00:23,11013,1.14
bKWMcBl6Pe8,[한국기술교육대학교/코리아텍]2020학년도 논술대비 기출문제 풀이영상 (오후 - 물리),22-Aug-19,380,9.0059,1,0:01:25,16783,1.53
mukZuMfvn1Y,실험인격_응용화학공학과 제작 패러디 영상 [한국기술교육대학교/KOREATECH],20-Jul-20,379,3.8449,2,0:00:36,14448,1.83
ZIGO9RWNBPA,[코리아텍/한국기술교육대학교] 나래 중간고사 이벤트 - 알쓸신잡 OF 코리아텍 행사 홍보 영상,09-Apr-19,377,3.5764,1,0:00:34,10737,2.46
4v2tpyly2p8,2021 졸업작품 | 전기·전자·통신공학부 | 방수 무선 가습기 [한국기술교육대학교/KOREATECH],30-Jun-21,370,4.1074,-1,0:00:39,8072,2.95
iAiSUw_1E3E,코딩 활용 능력치 LEVEL UP💪 제10회 KOREATECH 프로그래밍 경시대회💻 | 코딩 척척학사 다 모였다! [한국기술교육대학교/KOREATECH],03-Nov-23,370,8.4711,0,0:01:22,8774,3.2
66nikm1u73k,능력개발교육원 자격교육 오리엔테이션_신중년 교직훈련과정 [한국기술교육대학교/KOREAETCH],,369,50.4019,3,0:08:11,8,0
lS6gr59jftA,"밴드 동아리? 야, 너두 할 수 있어ㅣZam In ZESTㅣZESTㅣ2023 KOREATECH 동아리 상영관",24-Apr-23,369,2.1841,0,0:00:21,8115,3.59
c_V1UzKf5dY,2021 졸업작품 | 전기·전자·통신공학부 | 디스플레이 코팅용 기계 [한국기술교육대학교/KOREATECH],30-Jun-21,368,3.4749,0,0:00:33,9126,3.01
spV-xm9WALk,실험만렙_응용화학공학과 제작 패러디 영상 [한국기술교육대학교/KOREATECH],20-Jul-20,367,4.7137,0,0:00:46,14768,1.97
-9asZo31OLo,[한국기술교육대학교/코리아텍]2020학년도 논술대비 기출문제 풀이영상 (오후 - 수학),22-Aug-19,365,8.4569,0,0:01:23,12876,2.03
GU52sE8-zYs,2020 졸업작품 | 자동 제설 비닐하우스 | 메카트로닉스공학부 | 생산시스템전공 | 이재현 | [한국기술교육대학교/KOREATECH],13-Oct-22,365,4.8148,1,0:00:47,5352,4.78
DkbIdn5toYc,2021 졸업작품 | 디자인·건축공학부 | 시각장애인의 효율적인 온라인 교육을 위한 키트 [한국기술교육대학교/KOREATECH],27-Jun-21,363,4.173,0,0:00:41,8486,3
gqa6AH6Y2cI,"고용서비스정책학과, 넌 누구니? (feat. 4년제 대학 최초) [한국기술교육대학교/KOREATECH]",,360,11.1019,1,0:01:51,38,5.26
gj-FiImEB9Q,사이 마스크 챌린지 [한국기술교육대학교/KOREATECH],03-Oct-20,356,2.2826,0,0:00:23,18522,1.26
_NeJcVB962A,2021 졸업작품 | 디자인·건축공학부 | 호흡저항 감소와 최적화된 운동을 위한 전자식 스포츠 마스크 개발 [한국기술교육대학교/KOREATECH],27-Jun-21,352,4.4215,0,0:00:45,6945,2.65
4hxetKSNPTk,[제100회 휴먼아카데미]   정호승시인   20대에게 힘이 되어주는 한마디,03-Nov-21,350,114.2597,-1,0:19:35,3976,6.21
6dqyXi2sulw,2024학년도 논술고사 대비 문제 풀이 [23학년도 기출]｜자료제시형 언어논술 [한국기술교육대학교/KOREATECH],26-Jul-23,344,12.1848,1,0:02:07,7412,2.37
82l3xJZNOdU,공기업·외국계·중견 다 모였다! 한기대 취업박람회 [한국기술교육대학교/KOREATECH] #shorts #reels,20-Oct-23,344,5.1266,0,0:00:53,3286,3.59
qgX73JmkAyE,[한국기술교육대] 이성기 총장님 학위수여식 축사 영상,19-Feb-21,341,4.9424,0,0:00:52,11888,1.9
DeSE8sciaxQ,"나만 늦어진 것 같을 때ㅣ산업경영학부 이주훈ㅣ한기대, 그리고 꿈ㅣ한꿈 강연",02-Dec-22,333,10.077,0,0:01:48,9627,2.71
q88h2dE42m8,놀기도 잘 하고 예배도 잘 하는 기독교 동아리ㅣDon't Stop LovingㅣIVFㅣ동아리 영상 공모전 BEST 영상,25-Apr-23,331,3.9582,0,0:00:43,11189,2.3
mqpFTt2Drf8,IPP 참여 박종혁 ‘산학연계 교육영상 콘테스트’ 장려상 수상 [한국기술교육대학교/KOREATECH],28-Jan-21,328,6.0188,-1,0:01:06,14059,1.66
X3l5auAjDK4,2021 졸업작품 | 기계공학부 | 기계학습을 활용한 사용자의 체온 상태 분류 및 온도제어 시스템 제작 [한국기술교육대학교/KOREATECH],01-Jul-21,327,4.7566,1,0:00:52,9035,1.88
uyYGvv4HTww,[코리아텍] 수능D-100 맞이 수험생 응원영상,09-Aug-16,326,2.1483,0,0:00:23,3708,2.45
vcQSfez98p0,2021 하반기 졸업작품 | 메카트로닉스공학부 | 김지환 [한국기술교육대학교/KOREATECH],18-Oct-21,326,2.8919,0,0:00:31,6498,3.55
wBd9fo1T0qE,[옥션마켓] 교내 전동킥보드 주차 개선을 위한 거치대 디자인,20-Nov-20,326,3.734,0,0:00:41,8737,2.33
1lrhmLHD5XI,2014 Parents day,25-Jun-14,325,6.24,2,0:01:09,1913,2.09
k8XxtLre_Nw,[한국기술교육대학교/코리아텍] 학생부 교과 전형 소개 자료,22-Aug-19,325,5.9313,0,0:01:05,12932,1.59
SyS2RYcxB_k,"[코리아텍/한국기술교육대학교] ""나래 귀는 당나귀 귀"" 행사 후 영상",16-Apr-19,324,3.3985,0,0:00:37,11012,2.41
qdLSCbldn4I,[한국기술교육대학교/코리아텍] 2018년 코리아텍 진로탐색캠프,16-Aug-18,322,4.6659,1,0:00:52,10498,2.11
bsGQPekXzIA,"푸바오 낙서를 건 한기대 수시전형 퀴즈게임! 이 게임...누가 이길까?👀 READY, SET, GO! #shorts #reels",21-Aug-23,317,1.7445,1,0:00:19,5108,1.31
74JerPBUswc,[코리아텍] 학위수여식,07-Feb-17,315,2.7948,0,0:00:31,4051,3.41
b6Ky7nhGHk0,2021 졸업작품 | 기계공학부 | 다층 필름 성형에 의한 미세 버블랩 제작 및 특성평가 [한국기술교육대학교/KOREATECH],01-Jul-21,313,4.4239,1,0:00:50,9908,2.14
4VQecobPFs4,[코리아텍] 생활백서 행사 후기 영상,17-Apr-18,312,6.0542,0,0:01:09,9133,2.45
8F9WtLYR2l8,2021 하반기 졸업작품 | 메카트로닉스공학부 | 한승원 [한국기술교육대학교/KOREATECH],21-Oct-21,312,2.6094,0,0:00:30,9428,2.43
MONpXadj2Rs,KTV - 행복한대학 KOREATECH,14-Jul-13,311,7.2125,0,0:01:23,2451,1.96
ifvw192bvjA,코리아텍 2016고교생과학캠프,20-Nov-16,310,6.3783,0,0:01:14,4163,1.59
rKnY2gVmiog,[코리아텍]도전! 나래골든벨!,09-Apr-18,306,4.2547,1,0:00:50,8470,2.49
IPYY66Ns3RM,날씨 Mi쳤어!! 우리 한라산 문제없지... 아니 있을지도?👀 한기대 국토대장정 상우Vlog [한국기술교육대학교/KOREATECH] #shorts #reels,29-Sep-23,305,1.333,1,0:00:15,2673,1.98
GQNu1kC7woY,"한기대, 그리고 꿈ㅣ한꿈 강연ㅣ풀 버전(Full Version)",02-Dec-22,302,11.943,1,0:02:22,10477,2.22
fsPG5U6QJME,"[INTERVIEW] 이장님피셜 별이 다섯 개! ★★★★★ 농기계 수리, 전기 배선 수리에 벽화 그리기까지! | 2023 한국기술교육대학교 하계 기술봉사#shorts #reels",06-Sep-23,301,1.3992,0,0:00:16,6003,0.88
r79SnuYBDDM,[옥션마켓] 작업효율을 높이는 조경 전동 멀티 공구,27-Nov-20,296,2.1669,0,0:00:26,14043,1.57
GcQHc36H26U,[한국기술교육대학교/코리아텍]2020학년도 논술대비 기출문제 풀이영상 (오전 - 화학),22-Aug-19,291,4.3753,1,0:00:54,17732,1.13
kRqTxldp4lc,언택트 취업박람회 - 공기업 취업 전략!('20.09.09.),,285,127.1218,2,0:26:45,2,0
2BR3U3Dwqqc,코리아텍 옥션마켓,12-Dec-14,284,10.291,0,0:02:10,3857,2.15
g7Nk9jiTS2I,[옥션마켓] 얼굴인식에 기반한 실시간 초상권 침해방지 시스템,20-Nov-20,281,2.774,0,0:00:35,11914,1.77
7CU3it6n8vg,[KOREATECH] 제 7대 총장 이임식 동영상,14-Jul-14,277,6.7814,0,0:01:28,2976,1.78
상위 500개 결과 표시,,,,,,,,
